,,,,,,,,,,,,,
Block Load Profile Report From 01-May-2019 To 10-May-2019,,,,,,,,,,,,,
Consumer Number:,,Consumer Name:,,Substation Name:,ABCD,Feeder Name:,A1,Dtr Name:,DTR2,Meter Number:,,Contracted Load(kW):,2.1
45,01-May-2019 11:00:00,,,,,0.459,0.000,0.494 ,0.000 ,245.520,8.040,0.000,-
46,01-May-2019 11:15:00,,,,,0.784,0.000,0.827 ,0.000 ,244.970,13.490,0.000,-
47,01-May-2019 11:30:00,,,,,0.991,0.000,1.036 ,0.000 ,244.310,16.930,0.000,-
48,01-May-2019 11:45:00,,,,,0.866,0.000,0.902 ,0.000 ,244.600,14.740,0.000,-
49,01-May-2019 12:00:00,,,,,0.488,0.000,0.514 ,0.000 ,244.680,8.390,0.000,-
50,01-May-2019 12:15:00,,,,,0.424,0.000,0.452 ,0.000 ,244.150,7.390,0.000,-
51,01-May-2019 12:30:00,,,,,0.021,0.000,0.044 ,0.000 ,243.750,0.710,0.000,-
52,01-May-2019 12:45:00,,,,,0.006,0.000,0.053 ,0.000 ,243.880,0.860,0.000,-
53,01-May-2019 13:00:00,,,,,0.228,0.000,0.268 ,0.000 ,243.500,4.400,0.000,-
54,01-May-2019 13:15:00,,,,,0.475,0.000,0.500 ,0.000 ,243.910,8.180,0.000,-
55,01-May-2019 13:30:00,,,,,0.755,0.000,0.789 ,0.000 ,243.030,12.980,0.000,-
56,01-May-2019 13:45:00,,,,,1.287,0.000,1.330 ,0.000 ,241.770,21.960,0.000,-
57,01-May-2019 14:00:00,,,,,0.855,0.000,0.884 ,0.000 ,241.470,14.630,0.000,-
58,01-May-2019 14:15:00,,,,,0.504,0.000,0.524 ,0.000 ,242.210,8.630,0.000,-
59,01-May-2019 14:30:00,,,,,0.503,0.000,0.523 ,0.000 ,241.560,8.640,0.000,-
60,01-May-2019 14:45:00,,,,,0.506,0.000,0.525 ,0.000 ,240.750,8.700,0.000,-
61,01-May-2019 15:00:00,,,,,0.491,0.000,0.510 ,0.000 ,240.500,8.470,0.000,-
62,01-May-2019 15:15:00,,,,,0.499,0.000,0.517 ,0.000 ,240.340,8.600,0.000,-
63,01-May-2019 15:30:00,,,,,0.502,0.000,0.521 ,0.000 ,240.560,8.650,0.000,-
64,01-May-2019 15:45:00,,,,,0.498,0.000,0.516 ,0.000 ,240.130,8.580,0.000,-
65,01-May-2019 16:00:00,,,,,0.040,0.000,0.094 ,0.000 ,240.490,1.540,0.000,-
66,01-May-2019 16:15:00,,,,,0.019,0.000,0.041 ,0.000 ,241.030,0.680,0.000,-
67,01-May-2019 16:30:00,,,,,0.021,0.000,0.022 ,0.000 ,241.360,0.360,0.000,-
68,01-May-2019 16:45:00,,,,,0.143,0.000,0.149 ,0.000 ,241.500,2.470,0.000,-
69,01-May-2019 17:00:00,,,,,0.473,0.000,0.494 ,0.000 ,241.860,8.160,0.000,-
70,01-May-2019 17:15:00,,,,,0.375,0.000,0.411 ,0.000 ,243.130,6.750,0.000,-
71,01-May-2019 17:30:00,,,,,0.011,0.000,0.071 ,0.000 ,243.860,1.150,0.000,-
72,01-May-2019 17:45:00,,,,,0.047,0.000,0.080 ,0.000 ,245.060,1.320,0.000,-
73,01-May-2019 18:00:00,,,,,0.015,0.000,0.071 ,0.000 ,245.830,1.140,0.000,-
74,01-May-2019 18:15:00,,,,,0.014,0.000,0.066 ,0.000 ,246.400,1.070,0.000,-
75,01-May-2019 18:30:00,,,,,0.016,0.000,0.060 ,0.000 ,246.740,0.980,0.000,-
76,01-May-2019 18:45:00,,,,,0.043,0.000,0.058 ,0.000 ,246.780,0.940,0.000,-
77,01-May-2019 19:00:00,,,,,0.050,0.000,0.052 ,0.000 ,246.220,0.850,0.000,-
78,01-May-2019 19:15:00,,,,,0.030,0.000,0.030 ,0.000 ,245.360,0.470,0.000,-
79,01-May-2019 19:30:00,,,,,0.184,0.000,0.193 ,0.000 ,244.620,3.160,0.000,-
80,01-May-2019 19:45:00,,,,,0.483,0.000,0.506 ,0.000 ,243.420,8.290,0.000,-
81,01-May-2019 20:00:00,,,,,0.491,0.000,0.514 ,0.000 ,243.660,8.410,0.000,-
82,01-May-2019 20:15:00,,,,,0.558,0.000,0.589 ,0.000 ,244.340,9.640,0.000,-
83,01-May-2019 20:30:00,,,,,0.936,0.000,0.975 ,0.000 ,244.150,15.940,0.000,-
84,01-May-2019 20:45:00,,,,,0.829,0.000,0.864 ,0.000 ,244.480,14.120,0.000,-
85,01-May-2019 21:00:00,,,,,0.420,0.000,0.442 ,0.000 ,245.320,7.190,0.000,-
86,01-May-2019 21:15:00,,,,,0.840,0.000,0.887 ,0.000 ,244.800,14.470,0.000,-
87,01-May-2019 21:30:00,,,,,0.723,0.000,0.760 ,0.000 ,244.960,12.390,0.000,-
88,01-May-2019 21:45:00,,,,,0.998,0.000,1.035 ,0.000 ,244.520,16.900,0.000,-
89,01-May-2019 22:00:00,,,,,1.123,0.000,1.159 ,0.000 ,244.390,18.950,0.000,-
90,01-May-2019 22:15:00,,,,,1.092,0.000,1.127 ,0.000 ,243.410,18.500,0.000,-
91,01-May-2019 22:30:00,,,,,0.675,0.000,0.709 ,0.000 ,242.930,11.650,0.000,-
92,01-May-2019 22:45:00,,,,,0.599,0.000,0.632 ,0.000 ,242.900,10.410,0.000,-
93,01-May-2019 23:00:00,,,,,0.557,0.000,0.587 ,0.000 ,242.950,9.650,0.000,-
94,01-May-2019 23:15:00,,,,,0.210,0.000,0.242 ,0.000 ,243.430,3.970,0.000,-
95,01-May-2019 23:30:00,,,,,0.217,0.000,0.251 ,0.000 ,244.010,4.100,0.000,-
96,01-May-2019 23:45:00,,,,,0.214,0.000,0.248 ,0.000 ,244.950,4.050,0.000,-
97,02-May-2019 00:00:00,,,,,0.224,0.000,0.258 ,0.000 ,245.440,4.190,0.000,-
98,02-May-2019 00:15:00,,,,,0.211,0.000,0.244 ,0.000 ,245.880,3.970,0.000,-
99,02-May-2019 00:30:00,,,,,0.203,0.000,0.236 ,0.000 ,246.180,3.830,0.000,-
100,02-May-2019 00:45:00,,,,,0.138,0.000,0.176 ,0.000 ,246.520,2.840,0.000,-
101,02-May-2019 01:00:00,,,,,0.033,0.000,0.073 ,0.000 ,247.000,1.180,0.000,-
102,02-May-2019 01:15:00,,,,,0.030,0.000,0.073 ,0.000 ,247.820,1.170,0.000,-
103,02-May-2019 01:30:00,,,,,0.032,0.000,0.073 ,0.000 ,249.100,1.160,0.000,-
104,02-May-2019 01:45:00,,,,,0.033,0.000,0.073 ,0.000 ,249.490,1.160,0.000,-
105,02-May-2019 02:00:00,,,,,0.033,0.000,0.071 ,0.000 ,249.740,1.140,0.000,-
106,02-May-2019 02:15:00,,,,,0.033,0.000,0.074 ,0.000 ,250.090,1.180,0.000,-
107,02-May-2019 02:30:00,,,,,0.031,0.000,0.072 ,0.000 ,250.370,1.140,0.000,-
108,02-May-2019 02:45:00,,,,,0.025,0.000,0.059 ,0.000 ,250.810,0.940,0.000,-
109,02-May-2019 03:00:00,,,,,0.198,0.000,0.233 ,0.000 ,251.120,3.690,0.000,-
110,02-May-2019 03:15:00,,,,,0.214,0.000,0.239 ,0.000 ,251.350,3.800,0.000,-
111,02-May-2019 03:30:00,,,,,0.197,0.000,0.220 ,0.000 ,251.900,3.490,0.000,-
112,02-May-2019 03:45:00,,,,,0.198,0.000,0.222 ,0.000 ,252.430,3.510,0.000,-
113,02-May-2019 04:00:00,,,,,0.191,0.000,0.215 ,0.000 ,252.630,3.400,0.000,-
114,02-May-2019 04:15:00,,,,,0.135,0.000,0.151 ,0.000 ,253.630,2.380,0.000,-
115,02-May-2019 04:30:00,,,,,0.021,0.000,0.021 ,0.000 ,254.010,0.320,0.000,-
116,02-May-2019 04:45:00,,,,,0.021,0.000,0.024 ,0.000 ,254.090,0.380,0.000,-
117,02-May-2019 05:00:00,,,,,0.021,0.000,0.021 ,0.000 ,254.320,0.320,0.000,-
118,02-May-2019 05:15:00,,,,,0.020,0.000,0.021 ,0.000 ,254.650,0.320,0.000,-
119,02-May-2019 05:30:00,,,,,0.021,0.000,0.021 ,0.000 ,254.430,0.320,0.000,-
120,02-May-2019 05:45:00,,,,,0.021,0.000,0.021 ,0.000 ,254.240,0.320,0.000,-
121,02-May-2019 06:00:00,,,,,0.021,0.000,0.021 ,0.000 ,254.300,0.320,0.000,-
122,02-May-2019 06:15:00,,,,,0.165,0.000,0.189 ,0.000 ,255.320,2.960,0.000,-
123,02-May-2019 06:30:00,,,,,0.176,0.000,0.211 ,0.000 ,255.710,3.280,0.000,-
124,02-May-2019 06:45:00,,,,,0.115,0.000,0.139 ,0.000 ,255.940,2.180,0.000,-
125,02-May-2019 07:00:00,,,,,0.009,0.000,0.017 ,0.000 ,256.020,0.270,0.000,-
126,02-May-2019 07:15:00,,,,,0.005,0.000,0.028 ,0.000 ,256.750,0.410,0.000,-
127,02-May-2019 07:30:00,,,,,0.008,0.000,0.046 ,0.000 ,257.060,0.720,0.000,-
128,02-May-2019 07:45:00,,,,,0.014,0.000,0.026 ,0.000 ,257.380,0.400,0.000,-
129,02-May-2019 08:00:00,,,,,0.081,0.000,0.125 ,0.000 ,257.170,1.930,0.000,-
130,02-May-2019 08:15:00,,,,,0.450,0.000,0.509 ,0.000 ,256.800,7.910,0.000,-
131,02-May-2019 08:30:00,,,,,0.448,0.000,0.503 ,0.000 ,255.480,7.860,0.000,-
132,02-May-2019 08:45:00,,,,,0.300,0.000,0.347 ,0.000 ,254.690,5.450,0.000,-
133,02-May-2019 09:00:00,,,,,0.027,0.000,0.085 ,0.000 ,254.390,1.320,0.000,-
134,02-May-2019 09:15:00,,,,,0.004,0.000,0.038 ,0.000 ,252.840,0.600,0.000,-
135,02-May-2019 09:30:00,,,,,0.019,0.000,0.022 ,0.000 ,250.050,0.350,0.000,-
136,02-May-2019 09:45:00,,,,,0.023,0.000,0.024 ,0.000 ,248.460,0.370,0.000,-
137,02-May-2019 10:00:00,,,,,0.024,0.000,0.036 ,0.000 ,247.900,0.590,0.000,-
138,02-May-2019 10:15:00,,,,,0.025,0.000,0.045 ,0.000 ,247.450,0.720,0.000,-
139,02-May-2019 10:30:00,,,,,0.032,0.000,0.060 ,0.000 ,247.130,0.960,0.000,-
140,02-May-2019 10:45:00,,,,,0.029,0.000,0.060 ,0.000 ,246.910,0.970,0.000,-
141,02-May-2019 11:00:00,,,,,0.042,0.000,0.075 ,0.000 ,246.670,1.220,0.000,-
142,02-May-2019 11:15:00,,,,,0.050,0.000,0.073 ,0.000 ,246.190,1.180,0.000,-
143,02-May-2019 11:30:00,,,,,0.043,0.000,0.077 ,0.000 ,244.980,1.260,0.000,-
144,02-May-2019 11:45:00,,,,,0.026,0.000,0.079 ,0.000 ,244.550,1.280,0.000,-
145,02-May-2019 12:00:00,,,,,0.030,0.000,0.051 ,0.000 ,244.730,0.830,0.000,-
146,02-May-2019 12:15:00,,,,,0.023,0.000,0.050 ,0.000 ,244.170,0.810,0.000,-
147,02-May-2019 12:30:00,,,,,0.034,0.000,0.057 ,0.000 ,243.320,0.920,0.000,-
148,02-May-2019 12:45:00,,,,,0.032,0.000,0.045 ,0.000 ,242.760,0.740,0.000,-
149,02-May-2019 13:00:00,,,,,0.023,0.000,0.055 ,0.000 ,242.320,0.910,0.000,-
150,02-May-2019 13:15:00,,,,,0.006,0.000,0.064 ,0.000 ,243.100,1.040,0.000,-
151,02-May-2019 13:30:00,,,,,0.004,0.000,0.058 ,0.000 ,242.820,0.960,0.000,-
152,02-May-2019 13:45:00,,,,,0.009,0.000,0.044 ,0.000 ,242.370,0.710,0.000,-
153,02-May-2019 14:00:00,,,,,0.024,0.000,0.027 ,0.000 ,241.640,0.440,0.000,-
154,02-May-2019 14:15:00,,,,,0.464,0.000,0.485 ,0.000 ,241.400,8.020,0.000,-
155,02-May-2019 14:30:00,,,,,0.625,0.000,0.643 ,0.000 ,240.870,10.670,0.000,-
156,02-May-2019 14:45:00,,,,,0.150,0.000,0.199 ,0.000 ,240.790,3.290,0.000,-
157,02-May-2019 15:00:00,,,,,0.016,0.000,0.063 ,0.000 ,239.730,1.030,0.000,-
158,02-May-2019 15:15:00,,,,,0.017,0.000,0.072 ,0.000 ,238.900,1.210,0.000,-
159,02-May-2019 15:30:00,,,,,0.010,0.000,0.068 ,0.000 ,238.660,1.120,0.000,-
160,02-May-2019 15:45:00,,,,,0.019,0.000,0.066 ,0.000 ,239.540,1.100,0.000,-
161,02-May-2019 16:00:00,,,,,0.012,0.000,0.072 ,0.000 ,240.450,1.190,0.000,-
162,02-May-2019 16:15:00,,,,,0.012,0.000,0.071 ,0.000 ,240.540,1.170,0.000,-
163,02-May-2019 16:30:00,,,,,0.005,0.000,0.048 ,0.000 ,240.330,0.800,0.000,-
164,02-May-2019 16:45:00,,,,,0.006,0.000,0.053 ,0.000 ,241.190,0.870,0.000,-
165,02-May-2019 17:00:00,,,,,0.006,0.000,0.052 ,0.000 ,242.720,0.850,0.000,-
166,02-May-2019 17:15:00,,,,,0.013,0.000,0.053 ,0.000 ,244.480,0.870,0.000,-
167,02-May-2019 17:30:00,,,,,0.035,0.000,0.051 ,0.000 ,245.470,0.840,0.000,-
168,02-May-2019 17:45:00,,,,,0.061,0.000,0.062 ,0.000 ,247.050,1.020,0.000,-
169,02-May-2019 18:00:00,,,,,0.044,0.000,0.059 ,0.000 ,248.780,0.960,0.000,-
170,02-May-2019 18:15:00,,,,,0.041,0.000,0.063 ,0.000 ,249.480,1.020,0.000,-
171,02-May-2019 18:30:00,,,,,0.030,0.000,0.059 ,0.000 ,250.340,0.930,0.000,-
172,02-May-2019 18:45:00,,,,,0.033,0.000,0.053 ,0.000 ,251.720,0.850,0.000,-
173,02-May-2019 19:00:00,,,,,0.019,0.000,0.082 ,0.000 ,251.570,1.290,0.000,-
174,02-May-2019 19:15:00,,,,,0.037,0.000,0.046 ,0.000 ,251.050,0.740,0.000,-
175,02-May-2019 19:30:00,,,,,0.181,0.000,0.197 ,0.000 ,251.550,3.130,0.000,-
176,02-May-2019 19:45:00,,,,,0.121,0.000,0.131 ,0.000 ,252.160,2.060,0.000,-
177,02-May-2019 20:00:00,,,,,0.061,0.000,0.066 ,0.000 ,252.900,1.040,0.000,-
178,02-May-2019 20:15:00,,,,,0.473,0.000,0.516 ,0.000 ,253.230,8.140,0.000,-
179,02-May-2019 20:30:00,,,,,0.695,0.000,0.764 ,0.000 ,253.070,12.060,0.000,-
180,02-May-2019 20:45:00,,,,,1.124,0.000,1.220 ,0.000 ,252.270,19.320,0.000,-
181,02-May-2019 21:00:00,,,,,1.045,0.000,1.129 ,0.000 ,251.850,17.900,0.000,-
182,02-May-2019 21:15:00,,,,,1.113,0.000,1.202 ,0.000 ,251.650,19.070,0.000,-
183,02-May-2019 21:30:00,,,,,1.063,0.000,1.147 ,0.000 ,251.440,18.230,0.000,-
184,02-May-2019 21:45:00,,,,,1.111,0.000,1.199 ,0.000 ,251.420,19.050,0.000,-
185,02-May-2019 22:00:00,,,,,0.699,0.000,0.752 ,0.000 ,252.320,11.890,0.000,-
186,02-May-2019 22:15:00,,,,,0.557,0.000,0.597 ,0.000 ,251.920,9.460,0.000,-
187,02-May-2019 22:30:00,,,,,0.252,0.000,0.296 ,0.000 ,251.390,4.690,0.000,-
188,02-May-2019 22:45:00,,,,,0.036,0.000,0.077 ,0.000 ,251.850,1.220,0.000,-
189,02-May-2019 23:00:00,,,,,0.039,0.000,0.081 ,0.000 ,252.190,1.270,0.000,-
190,02-May-2019 23:15:00,,,,,0.045,0.000,0.087 ,0.000 ,251.580,1.380,0.000,-
191,02-May-2019 23:30:00,,,,,0.039,0.000,0.087 ,0.000 ,251.540,1.380,0.000,-
192,02-May-2019 23:45:00,,,,,0.048,0.000,0.085 ,0.000 ,251.640,1.350,0.000,-
193,03-May-2019 00:00:00,,,,,0.044,0.000,0.081 ,0.000 ,251.730,1.270,0.000,-
194,03-May-2019 00:15:00,,,,,0.040,0.000,0.077 ,0.000 ,252.180,1.220,0.000,-
195,03-May-2019 00:30:00,,,,,0.041,0.000,0.081 ,0.000 ,252.280,1.270,0.000,-
196,03-May-2019 00:45:00,,,,,0.037,0.000,0.080 ,0.000 ,252.560,1.270,0.000,-
197,03-May-2019 01:00:00,,,,,0.032,0.000,0.081 ,0.000 ,252.760,1.270,0.000,-
198,03-May-2019 01:15:00,,,,,0.032,0.000,0.079 ,0.000 ,253.110,1.240,0.000,-
199,03-May-2019 01:30:00,,,,,0.037,0.000,0.081 ,0.000 ,253.160,1.270,0.000,-
200,03-May-2019 01:45:00,,,,,0.029,0.000,0.073 ,0.000 ,253.700,1.150,0.000,-
201,03-May-2019 02:00:00,,,,,0.028,0.000,0.072 ,0.000 ,254.350,1.120,0.000,-
202,03-May-2019 02:15:00,,,,,0.029,0.000,0.079 ,0.000 ,254.710,1.240,0.000,-
203,03-May-2019 02:30:00,,,,,0.029,0.000,0.075 ,0.000 ,255.160,1.170,0.000,-
204,03-May-2019 02:45:00,,,,,0.029,0.000,0.070 ,0.000 ,255.310,1.080,0.000,-
205,03-May-2019 03:00:00,,,,,0.029,0.000,0.060 ,0.000 ,255.560,0.930,0.000,-
206,03-May-2019 03:15:00,,,,,0.025,0.000,0.056 ,0.000 ,255.890,0.870,0.000,-
207,03-May-2019 03:30:00,,,,,0.023,0.000,0.044 ,0.000 ,256.170,0.680,0.000,-
208,03-May-2019 03:45:00,,,,,0.026,0.000,0.047 ,0.000 ,256.800,0.720,0.000,-
209,03-May-2019 04:00:00,,,,,0.023,0.000,0.041 ,0.000 ,257.010,0.630,0.000,-
210,03-May-2019 04:15:00,,,,,0.028,0.000,0.056 ,0.000 ,257.170,0.870,0.000,-
211,03-May-2019 04:30:00,,,,,0.030,0.000,0.068 ,0.000 ,256.950,1.050,0.000,-
212,03-May-2019 04:45:00,,,,,0.028,0.000,0.055 ,0.000 ,256.600,0.850,0.000,-
213,03-May-2019 05:00:00,,,,,0.027,0.000,0.056 ,0.000 ,256.920,0.860,0.000,-
214,03-May-2019 05:15:00,,,,,0.023,0.000,0.030 ,0.000 ,257.250,0.470,0.000,-
215,03-May-2019 05:30:00,,,,,0.022,0.000,0.022 ,0.000 ,257.900,0.330,0.000,-
216,03-May-2019 05:45:00,,,,,0.028,0.000,0.045 ,0.000 ,257.800,0.700,0.000,-
217,03-May-2019 06:00:00,,,,,0.029,0.000,0.059 ,0.000 ,257.770,0.910,0.000,-
218,03-May-2019 06:15:00,,,,,0.030,0.000,0.049 ,0.000 ,258.300,0.760,0.000,-
219,03-May-2019 06:30:00,,,,,0.022,0.000,0.034 ,0.000 ,257.990,0.510,0.000,-
220,03-May-2019 06:45:00,,,,,0.363,0.000,0.363 ,0.000 ,257.450,5.630,0.000,-
221,03-May-2019 07:00:00,,,,,0.584,0.000,0.585 ,0.000 ,257.180,9.060,0.000,-
222,03-May-2019 07:15:00,,,,,0.524,0.000,0.526 ,0.000 ,257.180,8.150,0.000,-
223,03-May-2019 07:30:00,,,,,0.021,0.000,0.043 ,0.000 ,257.210,0.670,0.000,-
224,03-May-2019 07:45:00,,,,,0.326,0.000,0.378 ,0.000 ,256.810,5.890,0.000,-
225,03-May-2019 08:00:00,,,,,0.159,0.000,0.212 ,0.000 ,256.700,3.290,0.000,-
226,03-May-2019 08:15:00,,,,,0.012,0.000,0.058 ,0.000 ,256.410,0.910,0.000,-
227,03-May-2019 08:30:00,,,,,0.011,0.000,0.068 ,0.000 ,255.370,1.060,0.000,-
228,03-May-2019 08:45:00,,,,,0.010,0.000,0.045 ,0.000 ,254.160,0.700,0.000,-
229,03-May-2019 09:00:00,,,,,0.005,0.000,0.039 ,0.000 ,252.870,0.610,0.000,-
230,03-May-2019 09:15:00,,,,,0.006,0.000,0.046 ,0.000 ,250.360,0.730,0.000,-
231,03-May-2019 09:30:00,,,,,0.008,0.000,0.056 ,0.000 ,248.880,0.900,0.000,-
232,03-May-2019 09:45:00,,,,,0.008,0.000,0.050 ,0.000 ,247.990,0.800,0.000,-
233,03-May-2019 10:00:00,,,,,0.011,0.000,0.062 ,0.000 ,247.210,0.990,0.000,-
234,03-May-2019 10:15:00,,,,,0.051,0.000,0.136 ,0.000 ,247.300,2.190,0.000,-
235,03-May-2019 10:30:00,,,,,0.117,0.000,0.315 ,0.000 ,247.090,5.080,0.000,-
236,03-May-2019 10:45:00,,,,,0.404,0.000,0.453 ,0.000 ,245.930,7.350,0.000,-
237,03-May-2019 11:00:00,,,,,0.438,0.000,0.466 ,0.000 ,245.200,7.590,0.000,-
238,03-May-2019 11:15:00,,,,,0.356,0.000,0.386 ,0.000 ,244.940,6.300,0.000,-
239,03-May-2019 11:30:00,,,,,0.446,0.000,0.473 ,0.000 ,244.350,7.730,0.000,-
240,03-May-2019 11:45:00,,,,,0.446,0.000,0.474 ,0.000 ,244.530,7.730,0.000,-
241,03-May-2019 12:00:00,,,,,0.436,0.000,0.461 ,0.000 ,243.290,7.570,0.000,-
242,03-May-2019 12:15:00,,,,,0.435,0.000,0.460 ,0.000 ,242.820,7.550,0.000,-
243,03-May-2019 12:30:00,,,,,0.252,0.000,0.289 ,0.000 ,242.580,4.750,0.000,-
244,03-May-2019 12:45:00,,,,,0.010,0.000,0.067 ,0.000 ,243.670,1.090,0.000,-
245,03-May-2019 13:00:00,,,,,0.021,0.000,0.034 ,0.000 ,244.160,0.550,0.000,-
246,03-May-2019 13:15:00,,,,,0.026,0.000,0.042 ,0.000 ,244.980,0.670,0.000,-
247,03-May-2019 13:30:00,,,,,0.028,0.000,0.031 ,0.000 ,244.510,0.510,0.000,-
248,03-May-2019 13:45:00,,,,,0.029,0.000,0.034 ,0.000 ,244.020,0.550,0.000,-
249,03-May-2019 14:00:00,,,,,0.031,0.000,0.038 ,0.000 ,243.610,0.600,0.000,-
250,03-May-2019 14:15:00,,,,,0.034,0.000,0.045 ,0.000 ,243.430,0.740,0.000,-
251,03-May-2019 14:30:00,,,,,0.039,0.000,0.058 ,0.000 ,242.240,0.950,0.000,-
252,03-May-2019 14:45:00,,,,,0.032,0.000,0.061 ,0.000 ,240.710,1.010,0.000,-
253,03-May-2019 15:00:00,,,,,0.034,0.000,0.091 ,0.000 ,240.230,1.520,0.000,-
254,03-May-2019 15:15:00,,,,,0.032,0.000,0.086 ,0.000 ,240.240,1.420,0.000,-
255,03-May-2019 15:30:00,,,,,0.031,0.000,0.076 ,0.000 ,240.860,1.240,0.000,-
256,03-May-2019 15:45:00,,,,,0.036,0.000,0.079 ,0.000 ,241.010,1.310,0.000,-
257,03-May-2019 16:00:00,,,,,0.034,0.000,0.078 ,0.000 ,241.210,1.280,0.000,-
